MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,MIN_THK,MAX_THK,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,S,"1/2""","3/4""","1""","1-1/2""","2""","3""","4""","6""","8""","10""","12""","14""","16""","18""","20""","24"""
BUT WELD,API 5L,A25,-,-,-,-,1.0,"8a, 77",-20,45.0,25.0,15.0,1.3622,1.7076,2.136,3.089,3.8564,5.6855,7.3099,10.7634,14.0122,17.4593,20.7081,22.7419,25.9907,29.2267,32.4884,39.0116
SMLS & ERW,API 5L,A25,-,-,-,-,1.0,"57, 59, 77",B,45.0,25.0,15.0,1.3622,1.7076,2.136,3.089,3.8564,5.6855,7.3099,10.7634,14.0122,17.4593,20.7081,22.7419,25.9907,29.2267,32.4884,39.0116
-,API 5L,B,-,-,-,-,1.0,"57, 59, 77",B,60.0,35.0,20.0,1.0554,1.323,1.655,2.3932,2.9878,4.405,5.6635,8.3392,10.8563,13.527,16.0441,17.6198,20.1369,22.6441,25.1712,30.2252
-,API 5L,X42,-,-,-,-,1.0,"55, 77",A,60.0,42.0,20.0,1.0554,1.323,1.655,2.3932,2.9878,4.405,5.6635,8.3392,10.8563,13.527,16.0441,17.6198,20.1369,22.6441,25.1712,30.2252
-,API 5L,X46,-,-,-,-,1.0,"55, 77",A,63.0,46.0,21.0,1.0099,1.2659,1.5836,2.2901,2.8591,4.2151,5.4194,7.9797,10.3884,12.944,15.3526,16.8603,19.269,21.6681,24.0862,28.9224
-,API 5L,X52,-,-,-,-,1.0,"55, 77",A,66.0,52.0,22.0,0.9682,1.2136,1.5182,2.1955,2.7409,4.0409,5.1955,7.65,9.9591,12.4091,14.7182,16.1636,18.4727,20.7727,23.0909,27.7273
-,API 5L,X56,-,-,-,-,1.0,"51, 55, 71, 77",A,71.0,56.0,23.7,0.9046,1.134,1.4185,2.0514,2.561,3.7757,4.8544,7.1479,9.3054,11.5946,13.7521,15.1027,17.2602,19.4093,21.5753,25.9073
-,API 5L,X60,-,-,-,-,1.0,"51, 55, 71, 77",A,75.0,60.0,25.0,0.8614,1.0798,1.3507,1.9533,2.4386,3.5952,4.6224,6.8063,8.8607,11.0404,13.0949,14.3809,16.4353,18.4816,20.5441,24.6691
-,API 5L,X65,-,-,-,-,1.0,"57, 67",A,77.0,65.0,25.7,0.8398,1.0527,1.3168,1.9043,2.3774,3.505,4.5065,6.6355,8.6384,10.7634,12.7663,14.0201,16.0229,18.0179,20.0287,24.0502
-,API 5L,X70,-,-,-,-,1.0,"57, 67",A,82.0,70.0,27.3,0.7942,0.9956,1.2454,1.801,2.2485,3.3149,4.262,6.2756,8.1698,10.1797,12.0739,13.2597,15.1539,17.0407,18.9424,22.7458
-,API 5L,X80,-,-,-,-,1.0,"57, 67",A,90.0,80.0,30.0,0.7276,0.9121,1.141,1.65,2.0599,3.037,3.9047,5.7494,7.4848,9.3261,11.0615,12.1478,13.8832,15.6118,17.354,20.8385
